source	target
”We would like to receive feedback via email (link to email address factweb@npd.no ) from the users of our services!” emphasises Stokka.	”Vi vil gjerne ha tilbakemeldingar på e-post (lenke til e-postadresse factweb@npd.no ) frå dei som brukar tenestene våre!” understrekar prosjektleiaren.
The well encountered half a metre of tight sandstone/clay stone in the Åsgard formation and fractured basement rocks with oil in the fractures.	Brønnen påtraff en halv meter tett sandstein/leirstein i Åsgardformasjonen og oppsprukket grunnfjell med olje i sprekkene.
Preliminary production figures show an average daily production of about 2,88 million barrels oil for June 2004.	Foreløpig produksjonsoversikt for juni viser en gjennomsnittlig dagsproduksjon på om lag 2,88 millioner fat olje.
This is the second well to be drilled on the licence.	Dette er den andre brønnen som bores i tillatelsen.
The objective of the well was to prove petroleum in Middle Jurassic reservoir rocks (Hugin and Sleipner formations).	Hensikten med brønnen var å påvise petroleum i midtre jura reservoarbergarter (Hugin- og Sleipnerformasjonen).
Well 6406/3-7 was drilled by the semi-submersible drilling facility West Alpha in 275 metres of water.	Brønn 6406/3-7 ble boret av den halvt nedsenkbare boreinnretningen West Alpha på 275 meters vanndyp.
These are profitable fields where both the State and the companies are making money, and this is how it will stay, even if the oil price should drop further," says Bente Nyland.	Dette er lønnsomme felt der staten og selskapene tjener penger, og slik vil det fortsatt være, selv om oljeprisen skulle synke ytterligere,» sier Bente Nyland.
So far this year the total production is about 111.5 million Sm3 o.e.	Så langt i 2005 er den totale produksjonen om lag 111,5 millioner Sm3 o.e.
The NPD is present in the most important arenas.	Oljedirektoratet er til stede på de viktigste arenaene.
Well 6507/11-11 was drilled to a vertical depth of 2875 metres below the sea surface and was terminated in the Fangst group in the Middle Jurassic.	Brønn 6507/11-11 ble boret til et vertikalt dyp av 2875 meter under havflaten og ble avsluttet i Fangstgruppen i midtre jura.
This is the second well in production licence 326.	Dette er den andre brønnen i utvinningstillatelse 326.
Produced water Water normally accompanies produced oil.	Produsert vann Ved produksjon av olje følger det vanligvis med vann.
The ”Aldous/Avaldsnes” discovery proves it is possible to make major discoveries in mature areas, and the Skrugard and Havis discoveries have doubled the resource estimate for this part of the Barents Sea.	Funnet ”Aldous/Avaldsnes” viser at det er mulig å gjøre store funn i modne områder, og de to funnene Skrugard og Havis har doblet ressursanslaget for denne delen av Barentshavet.
Core samples from Snøhvit This year, the programme focuses on the Snøhvit field in Barents Sea, and includes a workshop where we will look at actual cores from the Snøhvit reservoir.	Studerer kjerner fra Snøhvit I år har programmet fokus på Snøhvit-feltet i Barentshavet, og det inkluderer en workshop hvor man ser på faktiske kjerner fra Snøhvit-reservoaret.
The well will be drilled about ten kilometres east of the Skarv field and about 39 kilometres northeast of the Heidrun field.	Brønnen blir bora om lag 10 kilometer aust for Skarvfeltet og om lag 39 kilometer nordaust for Heidrunfeltet.
Version 2.0 of the Standard FactMaps will still be available here.	Versjon 2.0 av Standardutgaven faktakartet finner du fortsatt her.
The primary exploration target for well 16/2-12 was to prove petroleum in Upper to Middle Jurassic reservoir rocks.	Primært letemål for brønn 16/2-12 var å påvise petroleum i øvre til midtre jura reservoarbergarter.
Production licence 453 S was awarded in APA 2007.	Utvinningstillatelse 453 S ble tildelt i TFO 2007.
ENI Norge AS is the operator with an ownership interest of 30 per cent.	Eni Norge AS er operatør med ein del på 30 prosent.
“A lot of people stop by the NPD’s exhibition and try out the interactive screen,” says Mossige Johannesen.	”Mange er innom ODs utstilling og tester ut den interaktive skjermen,” sier Mossige Johannesen.
Nordland VII and Troms II have a total expected resource estimate which is about the same as what is expected in Nordland VI.	Nordland VII og Troms II har et samlet forventet ressursestimat på høyde med det som forventes i Nordland VI.
Second, the effects of climate change are persistent and develop over time.	• Virkningene av klimaen- dringene er vedvarende og utvikler seg over tid.
The size of the discovery is currently being evaluated.	Evaluering av størrelsen på funnet pågår.
The field will be tied in to a joint solution with power supply from shore for the Utsira High.	Feltet skal knyttes til en felles løsning for kraftforsyning fra land for Utsirahøgda.
The well was drilled to a vertical depth of 2850 metres below the sea surface and terminated in the Rogn Formation in Upper Jurassic.	Brønnen ble boret til et vertikalt dyp på 2850 meter under havoverflaten og avsluttet i Rognformasjonen i øvre jura.
The NPD is developing a new map system, which will be available at www.npd.no this summer.	Oljedirektoratet utvikler et nytt kartsystem som blir tilgjengelig på www.npd.no i sommer.
The NPD bulletins summarise the current lithostratigraphic nomenclature (naming designations) on the Norwegian shelf.	NPD-bulletinene oppsummerer den gjeldende lithostratigrafiske nomenklaturen (navnefortegnelsen) på norsk sokkel.
Further south in the same area in well 7220/7-3, Statoil discovered gas in the Stø formation and oil deeper in the Stø and Nordmela formations.	Lenger sør i samme området i brønn 7220/7-3 fant Statoil gass i Støformasjonen og olje dypere i Stø- og Nordmelaformasjonene.
Det norske oljeselskap is the operator with an ownership interest of 30 per cent.	Det norske oljeselskap er operatør med ein del på 30 prosent.
Final production figures from June 2013 show an average daily production of about 1.321 million barrels of oil, 0.387 million barrels of NGL and condensate and a total of 8.3 billion Sm3 saleable gas production.	Endelege produksjonstal for juni 2013 viser ein gjennomsnittleg dagsproduksjon på om lag 1,321 millionar fat olje, 0,387 millionar fat NGL og kondensat og totalt 8,3 GSm3 gass for sal.
This will contribute to improved recovery on Gullfaks, and production from Shetland/Lista will make it possible to increase oil production in the field’s main reservoir.	Dette vil bidra til økt utvinning på Gullfaks, samtidig som at produksjonen fra Shetland/Lista gjør det mulig å øke oljeproduksjonen i hovedreservoaret på feltet.
Download: Map. pdf	Last ned: Kart over området.pdf
Well 7325/1-1 will be drilled from the Transocean Spitsbergen drilling facility at position 73°54'49.50"north and 25°06'59.70"east.	Brønn 7325/1-1 skal borast frå boreinnretninga Transocean Spitsbergen i posisjon 73°54'49,50"nord og 25°06'59,70"aust.
Well 7119/12-4 is located approximately 75 kilometres southwest of the Snøhvit field.	Brønn 7119/12-4 ligg om lag 75 kilometer sørvest for Snøhvitfeltet.
An entry-level forum for discussions and presentations.	Et lavterskelforum for diskusjoner og presentasjoner.
Taxes, charges and direct ownership provide the government with a large portion of the values created by the petroleum activities.	Skatt, avgifter og direkte eierskap sikrer staten en stor del av verdiene som skapes av petroleumsvirksomheten.
The total production so far is about 43.6 million Sm3 o.e.	Den totale petroleumsproduksjonen dei to første månadene i år er om lag 43,6 millionar Sm3 o.e.
June 2005	Juni 2005
The management plan for the Barents Sea and sea areas off Lofoten was presented in 2005, and will be revised in 2020.	Forvaltningsplanen for Barentshavet og havområdene utenfor Lofoten ble lagt fram i 2005, og skal revideres i 2020.
Here you can read about the main features of Norwegian petroleum policy and the activities on the Norwegian shelf.	I heftet kan ein lese om hovudtrekka i norsk petroleumspolitikk og verksemda på norsk sokkel.
In recent years she has also had ornamentation assignments for Gosen School, the University of Stavanger and the City of Stavanger.	De siste årene har hun blant annet hatt utsmykkingsoppdrag for Gosen skole, Universitetet i Stavanger og Stavanger kommune.
text: Ina Gundersen	tekst: Ina Gundersen
Kari Østervold Toft, Director of Communications, Institute of Marine Research mobile +47 913 80 629	Kari Østervold Toft, kommunikasjonsdirektør, Havforskningsinstituttet mobil 913 80 629
The well encountered ten metres of Permo-Triassic carbonate conglomerate with good reservoir quality over fractured carbonates with limited reservoir quality.	Brønnen påtraff ti meter perm til trias karbonatkonglomerat med god reservoarkvalitet over oppsprukket karbonat med begrenset reservoarkvalitet.
The government process relating to seismic acquisition	Offentlig saksgang for seismisk undersøkelse
Well 35/9-12 S was drilled by the Leiv Eiriksson drilling facility, which will now drill wildcat well 6406/6-4 in production licence 510 in the Norwegian Sea, where Maersk Oil Norway AS is the operator.	Brønn 35/9-12 S ble boret av boreinnretningen Leiv Eiriksson som nå skal bore undersøkelsesbrønn 6406/6-4 i utvinningstillatelse 510 i Norskehavet, der Maersk Oil Norway AS er operatør.
It will now be awarded every two years, when the oil exhibition takes place in Stavanger.	Den kommer heretter til å bli delt ut annet hvert år, når oljemessa arrangeres i Stavanger.
The well was not formation-tested, but extensive data acquisition and sampling have been carried out, with cores from the primary exploration target, and lateral cores in the secondary exploration target (the Soldogg formation).	Brønnen ble ikke formasjonstestet, men det er utført omfattende datainnsamling og prøvetaking med kjerner fra primært letemål, og sideveggskjerner i sekundært letemål (Soldoggformasjonen).
The seabed on Ekofisk is still sinking, but at only 20 centimetres a year.	Havbunnen under innretningene på Ekofisk synker fortsatt, men bare 20 centimeter årlig.
Reservoir development was not proven in either of these levels and the well is classified as dry.	Det ble ikke påvist reservoarutvikling i noen av disse nivåene og brønnen blir klassifisert som tørr.
The well was drilled to a vertical depth of 640 m, and was terminated in the Naust formation in the Pliocene.	Brønnen ble boret til et vertikalt dyp på 640 meter, og ble avsluttet i Naustformasjonen i pliocen.
In the first stage, flexibility for future measures for improved recovery has been included.	I første byggetrinn er det bygd inn fleksibilitet for framtidige tiltak for økt utvinning.
Read the programme (Norwegian only) here >>	Les programmet >>
Well 6407/3-1 S will be drilled from the Transocean Leader drilling facility at position 64°46’32.49” N and 7°42’14.23” E after it has completed drilling of wildcat well 6407/4-2 for Statoil ASA in production licence 429.	Brønn 6407/3-1 S skal borast frå boreinnretninga Transocean Leader i posisjon 64°46’32,49”N og 7°42’14.23”Ø etter avslutting av boring av undersøkingsbrønn 6407/4-2 for Statoil ASA i utvinningsløyve 429.
The other licensee is Lotos Exploration and Production Norge AS with 10 per cent.	Den andre rettshavaren er Lotos Exploration and Production Norge AS med 10 prosent.
But the NPD’s map has a key difference – it deals with offshore CO2 storage, and it is significantly more detailed than the others.	Men ODs skiller seg ut – det tar for seg CO2-lagring til havs, og det er vesentlig mer detaljert enn de andre.
Preliminary well results do not provide a basis for changing the expected recoverable reserves from Ormen Lange.	Foreløpige brønnresultater gir ikke grunnlag for endringer av de forventede utvinnbare reserver fra Ormen Lange.
Total production for January 2011 is about 21.0 million Sm3 o.e.	Den totale petroleumsproduksjonen i januar var om lag 21,0 millionar Sm3 o.e.
Preliminary estimates of the size of the discovery are between five and ten million standard cubic metres (Sm3) of recoverable oil.	Foreløpige beregninger av størrelsen på funnet er mellom fem og ti millioner standard kubikkmeter (Sm3) utvinnbar olje.
The field, which was proven in 2010, consists of reservoir rocks from the Upper Triassic to the Lower Cretaceous.	Feltet, som ble påvist i 2010, består av reservoarbergarter fra øvre trias til nedre kritt.
The well was drilled to a vertical depth of 3738 metres below sea level and terminated in the Melke formation in the Middle Jurassic.	Brønnen ble boret til et vertikalt dyp av 3738 meter under havflaten, og ble avsluttet i Melkeformasjonen i midtre jura.
The well will be drilled about 35 kilometres south of the Oseberg field.	Brønnen blir bora om lag 35 kilometer sør for Osebergfeltet.
Due to poor communication from the well to the porous, fractured basement rock, paraffin was injected in a minor fracturing and injection test, which yielded stable rates of 1000 Sm3 per day.	På grunn av dårlig kommunikasjon fra brønnen mot det porøse oppsprukket grunnfjell, ble parafin injisert i en mindre oppsprekkings- og injeksjonstest som ga stabile rater på 1000 Sm3 per døgn.
The oil was left in the reservoir and is presently considered lost.	Oljen ble liggende igjen i reservoaret og anses i dag som tapt.
The area in this production licence consists of parts of block 34/10, including the Gullfaks and Gullfaks Sør fields in the North Sea.	Arealet i denne tillatelsen består av deler av blokk 34/10, med feltene Gullfaks og Gullfaks Sør i Nordsjøen.
Preliminary estimates indicate approx. 100 million barrels of recoverable oil.	Foreløpige anslag tilsier cirka 100 millioner fat utvinnbar olje.
No mobile hydrocarbons were proven in the well.	Det er ikke påvist bevegelige hydrokarboner i brønnen.
Well 30/11-6 was drilled using the DeepSea Delta drilling rig.	Boringen ble gjennomført med boreinnretningen DeepSea Delta.
The well has been drilled about 45 kilometres northeast of the Valhall field in the southern section of the North Sea and 300 kilometres southwest of Stavanger.	Brønnen er boret om lag 45 kilometer nordøst for Valhall-feltet i den sørlige delen av Nordsjøen og 300 kilometer sørvest for Stavanger.
Read more: Press release from the MPE >>	Les mer på OEDs nettsted >>
The area in this licence consists of parts of blocks 16/2, 3, 5 and 6 that are located in the central part of the North Sea.	Arealet i dette løyvet består av delar av blokkene 16/2, 3, 5 og 6 som er i midtre del av Nordsjøen.
StatoilHydro ASA (operator)	StatoilHydro ASA (operatør)
Wellbore 6406/3-8 will be drilled from the drilling facility Songa Delta at position 64° 56’ 09” north 6° 56’ 35” east, following the completion of the drilling of appraisal well 16/1-11 for Det norske oljeselskap in production licence 001 B.	Brønnbane 6406/3-8 skal borast frå boreinnretninga Songa Delta i posisjon 64° 56’ 09” nord 6° 56’ 35” aust, etter avslutting av boring av avgrensingsbrønn 16/1-11 for Det norske oljeselskap i utvinningsløyve 001 B.
Extensive data acquisition and sampling has been carried out in both wells.	Det er utført omfattende datainnsamling og prøvetaking i begge brønnene.
Android has version 2.0.7	Android har versjon 2.0.7
The owners of the field, led by the operator, deserve praise for their willingness to take risks and ability to make decisions.	Felteierne, ved operatør, berømmes for risikovilje og beslutningsevne.
Read the press release from the Ministry of Petroleum and Energy here (in Norwegian only) >>	Les pressemeldinga frå Olje- og energidepartementet her >>
Reservoir rocks were encountered in the Fangst and Båt groups and in the Lange formation, but with poorer reservoir properties than anticipated.	Det ble påtruffet reservoarbergarter i Fangst- og Båtgruppene og i Langeformasjonen, men med dårligere reservoaregenskaper enn forventet.
The measures in the petroleum industry cost in the range of NOK 400 to NOK 4000 per tonne of reduced CO2.	Tiltakene innen petroleumsindustrien har et kostnadsspenn fra 400 kroner til 4000 kroner per tonn redusert CO2.
International institutions submit their applications for scientific surveys in Norwegian waters to the Directorate of Fisheries.	Utenlandske institusjoner sender sine søknader om vitenskapelige undersøkelser i norske farvann til Fiskeridirektoratet.
Seven new players A total of seven new companies were pre-qualified by the authorities in 2004 as licensees or operators on the Norwegian continental shelf.	Nye aktører I løpet av 2004 er sju nye selskap prekvalifisert som operatør eller rettighetshaver på norsk sokkel.
Large amounts of information have been checked for quality and presented in a new format,” says Stokka.	Store mengder informasjon er blitt kvalitetskontrollert og presentert på ein ny måte,” seier han.
Production licence 532 was awarded in the 20th licensing round in 2009.	Utvinningsløyve 532 blei tildelt i 20. konsesjonsrunde i 2009.
Topics: Wells | Development and operations	Tema: Brønner | Utbygging og drift
Production licence 218 was awarded in the 15th round in 1996, with BP Petroleum Dev. of Norway AS as operator.	Utvinningstillatelsen 218 ble tildelt 15-runde i 1996 med BP Petroleum Dev.
The objective of appraisal well 16/2-13 A was to prove the oil/water contact, improve depth conversion, as well as investigate variations in reservoir quality and thickness.	Hensikten med avgrensningsbrønnen 16/2-13 A var å påtreffe olje/vann-kontakten, forbedre dybdekonvertering samt undersøke variasjoner i reservoarkvalitet og tykkelse.
The well is the first exploration well in production licence 489.	Brønnen er den første letebrønnen i utvinningstillatelse 489.
The well will be permanently plugged and abandoned.	Brønnen vil bli permanent plugget og forlatt.
The spudded exploration well in the Barents Sea has not yet been completed.	Den påbegynte letebrønnen i Barentshavet er ennå ikke avsluttet.
This is equal to 37 per cent of the undiscovered resources on the Norwegian shelf.	Dette tilsvarer 37 prosent av de uoppdagede ressursene på norsk sokkel.
Total is operator with 40 percent ownership, while ENI, Shell and Statoil are licensees with 20 percent each.	Total er operatør med 40 prosent andel, mens ENI, Shell og Statoil er rettighetshavere med 20 prosent andel hver.
When the development plan for the Snøhvit gas was presented in 2001-2002, production of the oil zone was not included.	Da utbyggingsplanen for gassen på Snøhvit ble lagt fram i 2001-2002, var utvinning av oljesonen ikke en del av planen.
The size of the discovery cannot be evaluated until a potential delineation has been conducted.	Størrelsen på funnet kan først evalueres ved en eventuell avgrensing.
Water depth at the site is 100 metres.	Havdypet er 100 meter.
The drilling extended to a total depth of 3,371 metres and 3,620 metres respectively below the sea surface.	Det ble boret til en total dybde på respektive 3371 meter og 3620 meter under havoverflaten.
The well was drilled about 20 kilometres northeast of the Aasta Hansteen field in the Norwegian Sea.	Brønnen er boret om lag 20 kilometer nordøst for Aasta Hansteenfeltet i Norskehavet.
A plan for development and operation (PDO) is being prepared.	Plan for utbygging og drift (PUD) er under arbeid.
In addition to collecting rock samples, maps have been compiled and scientific articles published about Svalbard's geological development.	Det blir tatt steinprøver, det blir kartlagt og publisert vitenskapelige artikler om den geologiske utviklingen på Svalbard.
The well will be drilled about ten kilometres west of the Mikkel field.	Brønnen blir bora om lag ti kilometer vest for Mikkelfeltet.
Licensees to production licence 339 are:	Rettshavarane i utvinningsløyve 339 er:
BG Norge AS is the operator with a 40 percent stake.	BG Norge AS er operatør med 40 prosent eierandel.
The reservoir rocks in the Macondo prospect in the Gulf of Mexico are located at depths of about 5 500 metres (water depth 1 500 metres and reservoir depth 4 000 metres).	Reservoarbergarten i Macondo-prospektet i Mexicogolfen ligger på ca 5 500 meter dyp (1500 meter havdyp og 4000 meter reservoardyp).
Photo: Emile Ashley.	Foto: Emile Ashley.
Wildcat well 7122/6-1, drilled by Total in 1987, proved gas in the north-western parts of the structure.	Undersøkelsesbrønn 7122/6-1 som ble boret av Total i 1987, påviste gass i de nordvestlige delene av strukturen.
This is the first exploration well in production licence 533.	Dette er den første letebrønnen i utvinningstillatelse 533.
Wildcat well 7125/4-1 made an oil/gas discovery in 2007 in rocks from the Late Triassic/Early Jurassic and Middle Triassic Ages.	Undersøkelsesbrønn 7125/4-1 gjorde et olje/gassfunn i 2007 i bergarter av sentrias/tidligjura og midttrias alder.
”Chartering an icebreaker costs about a half million NOK a day.	”En isbryter koster om lag en halv million kroner i døgnet å leie.
The reservoir in the Johan Sverdrup discovery is located about 1800 metres under the seabed, and can be described as a relatively flat geological landscape, split into various hills, terraces and basins.	Reservoaret i Johan Sverdrupfunnet ligger om lag 1800 meter under havbunnen, og kan beskrives som et relativt flatt geologisk landskap, delt inn i ulike høyder, terrasser og bassenger.
Statoil ASA is the operator with an ownership interest of 49.3 per cent.	Statoil ASA er operatør med ein del på 49,3 prosent.
A two-way time map covering the nonconformity under the respective Upper Jurassic stratigraphic sequence (north of 69°N) and the Cretaceous stratigraphic sequence (south of 69°N) with primary geological features from the mainland.	Formkart over inkonformitetsflaten under respektive overjuralagrekken (nord for 69°N) og krittlagrekken (sør for 69°N) med geologiske hovedtrekk fra fastlandet.
The licence was awarded in the North Sea Awards 2001(NSA2001).	Tillatelsen ble tildelt 15.3.2002 (NST2001).
The licensees will evaluate the discovery along with other discoveries, as regards a tie-in to the Aasta Hansteen field.	Rettighetshaverne vil vurdere funnet sammen med andre funn med hensyn til en tilknytning til Aasta Hansteen-feltet.
You must also have a good grasp of written and verbal Norwegian and English, including technical fishery and maritime terminology.	Du må også beherske norsk og engelsk skriftlig og muntlig, herunder fiskerifaglig og maritim fagterminologi.
So far this year the total production is about 118.9 million Sm3 o.e.	Så langt i 2007 er den totale produksjonen om lag 118,9 millionar Sm3 o.e.
General guidelines	Generell veiledning
The area in this licence constitutes a part of blocks 31/7 and 30/9.	Arealet i dette løyvet utgjer ein del av blokk 31/7 og 30/9.
Production licence 713 was awarded on 21 June 2013 in the 22nd licensing round on the Norwegian shelf.	Utvinningsløyve 713 vart delt ut 21.6.2013 i 22. konsesjonsrunde på norsk sokkel.
Well 34/7-34 was drilled to a vertical depth of 2670 metres below the sea surface.	Brønn 34/7-34 ble boret til et vertikalt dyp av 2670 meter under havflaten.
The oil and gas industry was responsible for 28.2 per cent of the national emissions.	Olje- og gassindustrien sto for 28,2 prosent av de nasjonale utslippene.
Preliminary estimates indicate that the size of the discovery is within a range of uncertainty from 9 – 13 million standard cubic metres of recoverable oil equivalents.	Foreløpig anslag viser at størrelsen trolig er innenfor et usikkerhetsspenn på mellom 9 og 13 millioner standard kubikkmeter utvinnbare olje-ekvivalenter.
Please name the files according to the examples shown below:	Filene skal navngis som i eksempelet vist under:
2002: No prize	2002: Ingen
Production from Gullfaks was reduced by about 40 per cent in December and January compared to production in November due to closed wells.	Produksjonen på Gullfaks var redusert med ca 40 prosent i desember og januar sammanlikna med produksjonen i november på grunn av nedstengte brønnar.
The licence was awarded in the 6th licensing round in 1982.	Tillatelsen ble tildelt i 6. konsesjonsrunde i 1982.
The well encountered a 250-metre thick channel system, about 50 metres of which was of very good reservoir quality.	Brønnen påtraff et 250 meter tykt kanalsystem, hvorav om lag 50 meter av meget god reservoarkvalitet.
The others licensee is Statoil Petroleum AS with 40 per cent.	Den andre rettshavaren er Statoil Petroleum AS med 40 prosent.
In addition, a joint local facilitator is established for NPD and HI in Angola.	Dessuten er det ansatt en felles stedlig tilrettelegger for OD og HI i Angola.
Here, the lift gas pipeline for Maria will be connected.	Her skal røyret for løftegass for Maria bli kopla til.
The other licensees are Talisman Energy Norge AS with 35 per cent and Premier Oil Norge AS with 20 per cent.	Dei andre rettshavarane er Talisman Energy Norge AS med 35 prosent og Premier Oil Norge AS med 20 prosent.
This is mainly due to planned maintenance and technical problems on several fields.	Årsakene er mellom anna planlagt vedlikehaldsarbeid og tekniske problemer på fleire felt.
The well encountered the oil-water contact for the discovery.	Brønnen påtraff olje-vann-kontakten for funnet.
The well will be drilled about 25 kilometres southeast of the Snøhvit field.	Brønnen blir bora om lag 25 kilometer søraust for Snøhvit-feltet.
Wellbore 6506/11-9 S will be drilled from the West Alpha drilling facility at position 65°10’18.54” north and 6°37’21.26” east after completing drilling of wildcat well 6507/7-15 S for RWE Dea Norge AS in production licence 435.	Brønn 6506/11-9 S skal borast frå boreinnretninga West Alpha i posisjon 65°10’18,54” nord og 6°37’21,26” aust etter avslutting av boring av undersøkingsbrønn 6507/7-15 S for RWE Dea Norge AS i utvinningsløyve 435.
So far this year the total production is about 189.5 million Sm3 o.e.	Så langt i 2002 er den totale produksjonen om lag 189,5 millionar Sm3 o.e.
The NPD is providing financial support for the expedition, while the University of Bergen and the independent research institute, the Nansen Centre, are contributing equipment and personnel.	Oljedirektoratet støtter ekspedisjonen økonomisk, mens Universitetet i Bergen og det uavhengige forskningsinstituttet Nansensenteret bidrar med utstyr og folk.
Final production figures from November 2010 show an average daily production of about 1.790 million barrels of oil, 0.353 million barrels of NGL and condensate and a total of 10.1 billion Sm3 net gas production.	Endelige produksjonstal for november 2010 viser gjennomsnittleg dagsproduksjon på om lag 1,790 millionar fat olje, 0,353 millionar fat NGL og kondensat og totalt 10,1 milliardar Sm3 gass.
The NPD has taken a very active interest in Johan Sverdrup from the first discovery well.	Oljedirektoratet har vært sterkt engasjert i Johan Sverdrup fra første funnbrønn.
Water depth is 615 metres.	Havdypet er 615 meter.
Preliminary estimates place the size of the discovery between 30 and 65 million Sm3 of recoverable oil, with a potential for additional resources near the discovery.	Foreløpig beregning av størrelsen på funnet er mellom 30 og 65 millioner Sm3 utvinnbar olje med potensial for ytterligere ressurser nær funnet.
More discharges when drill cuttings are sent to land Around 82 000 tonnes of cuttings and drilling fluid from the Norwegian shelf were sent to land for disposal in 2007, while discharges to sea amounted to around 286 000 tonnes.	Økte utslipp ved ilandføring av borekaks Rundt 82 000 tonn borekaks og borevæske fra norsk sokkel ble sendt til behandling på land i 2007, mens utslippet til sjø var på rundt 286 000 tonn.
More than ten years ago, the Storting (Norwegian Parliament) adopted the goal of zero discharges of oil and environmentally hazardous substances to sea from the petroleum activities.	Stortinget vedtok for over ti år siden målet om null utslipp av olje og miljøfarlige stoffer til sjø fra petroleumsvirksomheten.
This is the first exploration well in production licence 228.	Dette er den første letebrønnen i utvinningstillatelse 228.
A secondary objective was to investigate the potential for oil in the underlying Jurassic stratigraphic sequence.	Et sekundært mål var å undersøke potensialet for olje i den underliggende jura-lagrekken.
The well will be drilled about three kilometres southwest of the Peon discovery.	Brønnen blir bora om lag tre kilometer sørvest for Peonfunnet.
The operation has been underway since 5 June.	Operasjonen har pågått siden 5. juni.
The well will be drilled in the Oseberg field, between Osberg A and Oseberg C.	Brønnen blir bora under Osebergfeltet, mellom Osberg A og Oseberg C.
Production licence 498 was awarded in APA 2008.	Utvinningsløyve 498 blei delt ut i TFO 2008.
The Statfjord formation also has good reservoir properties, but it is water-bearing.	Statfjordformasjonen har også gode reservoaregenskaper, men er vannførende.
Gas has been proven in a 150-metre column in the Fangst Group.	Det er påvist gass i en 150 meter kolonne i Fangstgruppen.
ConocoPhillips Scandinavia AS	ConocoPhillips Scandinavia AS
Production licence 001 B was originally awarded in the first licensing round in 1965, and was subsequently carved out in 1999.	Utvinningstillatelse 001 B ble opprinnelig tildelt i 1. konsesjonsrunde i 1965 og seinere fradelt i 1999.
Ministry of Petroleum and Energy	OLJE- OG ENERGIDEPARTEMENTET
The licensees will consider further delineation of the discovery with regard to a potential development via the Norne FPSO.	Rettighetshaverne vil vurdere videre avgrensing av funnet med hensyn til en mulig utbygging over Norne FPSO.
The well was drilled about 150 kilometres west of Florø, between the Statfjord and Gullfaks fields in the northern North Sea.	Brønnen er boret om lag 150 kilometer vest for Florø, mellom Statfjord- og Gullfaksfeltene i nordlige Nordsjøen.
The well was drilled about 290 kilometres northeast of Hammerfest and about 50 kilometres east of the 7226/2-1 discovery.	Brønnen er boret omlag 290 kilometer nordøst for Hammerfest og omlag 50 kilometer øst for funnet 7226/2-1.
The well, which was dry, was drilled six kilometers west of the 6507/11-1 Midgard gas discovery in the Norwegian Sea.	Brønnen, som var tørr, ble boret seks kilometer vest for gassfunnet 6507/11-1 Midgard i Norskehavet.
Petroleum production Production of oil declined from 2.11 million barrels per day in the third quarter of 2008 to 1.94 million barrels per day in the third quarter of the year.	Petroleumsproduksjon Produksjonen av olje gikk ned fra 2,11 millioner fat per dag i tredje kvartal 2008 til 1,94 millioner fat per dag i årets tredje kvartal.
The field's start-up is in accordance with the Plan for Development and Operation (PDO).	Feltets oppstart skjer i tråd med Plan for utbygging og drift (PUD).
Questions needing to be answered include whether a production ship or platform should be installed on the field, or whether the unprocessed wellstream should travel to a terminal on land.	Skal funnet bygges ut til havs med et produksjonsskip eller plattform, eller skal oljen føres til en terminal på land?
On 8 August, Statoil reported that they had proven an oil column of at least 65 metres in well 16/2-8 (”Aldous Major South”) at the Utsira High in the North Sea.	8. august meldte Statoil at de har påvist en oljekolonne på minst 65 meter i brønn 16/2-8 (”Aldous Major South”) på Utsirahøyden i Nordsjøen.
The fishing vessels will carry out fishing throughout the entire seismic survey period, which runs to 9 August.	Fiskebåtene skal fiske under hele seismikkinnsamlingen, som pågår fram til 9 august.
The permit is contingent upon the operator securing all permits and consents required by other authorities prior to commencing drilling activity.	Løyvet føreset at dei andre løyva og samtykkja som vert kravd av andre myndigheiter er gitt før boreaktiviteten startar.
The drilling program for well 35/12-4 S concerns the drilling of a wildcat well in production licence 378.	Boreprogrammet for brønn 35/12-4 S gjeld boring av undersøkingsbrønn i utvinningsløyve 378.
The well will be drilled about ten kilometres west of the Sleipner Vest field in the central part of the North Sea.	Brønnen vert bora om lag ti kilometer vest for Sleipner Vestfeltet i midtre del av Nordsjøen.
The drilling programme for well 16/5-5 applies to the drilling of an exploration well in production licence 410 in the central part of the North Sea.	Boreprogrammet for brønn 16/5-5 gjeld boring av undersøkingsbrønn i utvinningsløyve 410 i midtre del av Nordsjøen.
This is the tenth well to be drilled within the licence’s area.	Dette er den tiande brønnen som blir bora innafor løyvet sitt areal.
“This helps show that the Norwegian authorities emphasise improved oil recovery as an important part of our resource management, as well as highlight efforts that have contributed towards this,” Nyland notes.	”Slik kan vi vise at norske myndigheter legger vekt på økt oljeutvinning som en viktig del av ressursforvaltningen og framheve innsats som har bidratt til dette,” påpeker Nyland.
Average daily production is about 2.600 million barrels oil and 0.374 million barrels NGL and condensate.	Gjennomsnittlig dagsproduksjon er om lag 2,600 millioner fat olje og 0,374 millioner fat NGL og kondensat.
His current work includes segmenting of petroleum fields with regard to pressure and flow properties.	I dag arbeider han blant annet med segmentering av petroleumsfelt med hensyn til trykk og strømningsegenskaper.
The area to be surveyed in the northeastern Barents Sea is located in the previously contested area along the border with Russia.	Området som nå undersøkes nordøst i Barentshavet, ligger i det tidligere omstridte området mot grensen til Russland.
He shared the prize with the Corec research centre.	Han delte prisen med forskningssenteret Corec.
